Training_Record_ID,Batch_ID,Associate_ID,Experience_Level,RCM_Function,Client,Trainer_ID,Training_Type,Training_Mode,Training_Start_Date,Training_End_Date,Planned_Days,Actual_Days,Planned_Hours,Actual_Training_Hours,Productive_Hours,Non_Productive_Hours,Trainer_Available_Hours,Trainer_Utilization_Pct,Assessment_Score,Assessment_Attempts,First_Pass,Quality_Score,Productivity_Score,Floor_Support_Cases,Knowledge_Gap_Count,Retraining_Hours,Completion_Status,Month,Training_Week,Extended Training 
278,BAT202604-07,ASS0070,Fresher,CBR,Client Beta,TR004,CST,Classroom,2026-04-23 00:00:00,2026-04-27 00:00:00,5,5,40,36.3,28,8.3,39.7,91.4,78,1,Yes,81.1,52.6,1,2,1.2,Completed,Apr-2026,17,0
279,BAT202604-07,ASS0070,Fresher,CBR,Client Beta,TR004,LAW,Hybrid,2026-04-28 00:00:00,2026-05-07 00:00:00,10,10,80,73.4,57.3,16.1,77.1,95.2,68,3,No,77.3,81.2,7,3,6,Completed,Apr-2026,18,0
280,BAT202605-07,ASS0070,Fresher,CBR,Client Beta,TR004,OJT,Floor,2026-05-08 00:00:00,2026-06-02 00:00:00,25,26,200,184.4,132.9,51.5,197.3,93.5,90,1,Yes,81.2,79,4,0,2,Extended,May-2026,19,1
281,BAT202602-08,ASS0071,Experienced,BRCM,Client Gamma,TR002,Generic Training,Classroom,2026-02-14 00:00:00,2026-02-17 00:00:00,4,4,32,28.5,17.5,11,29.6,96.3,74,1,Yes,85.8,82,0,2,0.8,Completed,Feb-2026,7,0
282,BAT202602-08,ASS0071,Experienced,BRCM,Client Gamma,TR002,CST,Classroom,2026-02-18 00:00:00,2026-02-20 00:00:00,3,3,24,24,18.7,5.3,24.5,98,90,1,Yes,83.6,82.8,2,2,1.4,Completed,Feb-2026,8,0
283,BAT202602-08,ASS0071,Experienced,BRCM,Client Gamma,TR002,LAW,Floor,2026-02-21 00:00:00,2026-02-25 00:00:00,5,5,40,38.4,28.2,10.2,40.6,94.6,72,1,Yes,100,88.3,8,1,1.1,Completed,Feb-2026,8,0
284,BAT202602-08,ASS0071,Experienced,BRCM,Client Gamma,TR002,OJT,Classroom,2026-02-26 00:00:00,2026-03-11 00:00:00,15,14,120,107.3,74.2,33.1,128,83.8,83,2,No,85.9,83.8,8,3,5.3,Completed,Feb-2026,9,0
285,BAT202604-08,ASS0072,Fresher,AR,River Health,TR008,Generic Training,Hybrid,2026-04-03 00:00:00,2026-04-07 00:00:00,5,5,40,35.9,28.3,7.6,43,83.5,78,2,No,76.7,78.8,4,2,2,Completed,Apr-2026,14,0
286,BAT202604-08,ASS0072,Fresher,AR,River Health,TR008,CST,Hybrid,2026-04-08 00:00:00,2026-04-10 00:00:00,3,3,24,22.4,16.2,6.2,23.5,95.3,72,1,Yes,75,77.4,5,0,1.4,Completed,Apr-2026,15,0
287,BAT202604-08,ASS0072,Fresher,AR,River Health,TR008,LAW,Classroom,2026-04-11 00:00:00,2026-04-20 00:00:00,10,10,80,73.9,61.1,12.8,75.5,97.9,85,3,No,78.9,88.7,14,3,7.8,Extended,Apr-2026,15,0
288,BAT202604-08,ASS0072,Fresher,AR,River Health,TR008,OJT,Floor,2026-04-21 00:00:00,2026-05-14 00:00:00,25,24,200,194.9,154.4,40.5,189.5,102.8,83,1,Yes,69.7,100,5,2,1.9,Completed,Apr-2026,17,0
289,BAT202604-08,ASS0073,Fresher,CBR,Client Delta,TR002,Generic Training,Classroom,2026-04-17 00:00:00,2026-04-21 00:00:00,5,5,40,30.2,22.1,8.1,42.4,71.2,76,1,Yes,89.1,73.3,3,0,1.4,Completed,Apr-2026,16,0
290,BAT202604-08,ASS0073,Fresher,CBR,Client Delta,TR002,CST,Floor,2026-04-22 00:00:00,2026-04-23 00:00:00,3,2,24,22.7,12.9,9.8,22.6,100.4,94,1,Yes,91.3,69.4,3,1,1.4,Completed,Apr-2026,17,0
291,BAT202604-08,ASS0073,Fresher,CBR,Client Delta,TR002,LAW,Classroom,2026-04-24 00:00:00,2026-05-03 00:00:00,10,10,80,75.3,46.9,28.4,76.7,98.2,88,1,Yes,86.2,92.8,11,1,0.3,Completed,Apr-2026,17,0
292,BAT202605-08,ASS0073,Fresher,CBR,Client Delta,TR002,OJT,Floor,2026-05-04 00:00:00,2026-05-28 00:00:00,25,25,200,184.1,141.5,42.6,186.5,98.7,62,3,No,84.1,77.1,4,2,3.7,Completed,May-2026,19,0
293,BAT202608-08,ASS0074,Experienced,CBR,Client Gamma,TR006,Generic Training,Classroom,2026-08-18 00:00:00,2026-08-21 00:00:00,4,4,32,31.1,25.4,5.7,32.4,96,86,1,Yes,82.4,76,2,1,0.1,Completed,Aug-2026,34,0
294,BAT202608-08,ASS0074,Experienced,CBR,Client Gamma,TR006,CST,Hybrid,2026-08-22 00:00:00,2026-08-23 00:00:00,2,2,16,14.2,10.2,4,16.9,84,90,1,Yes,74.6,83.3,0,2,1.2,Completed,Aug-2026,34,0
295,BAT202608-08,ASS0074,Experienced,CBR,Client Gamma,TR006,LAW,Virtual,2026-08-24 00:00:00,2026-08-28 00:00:00,5,5,40,38.3,26.7,11.6,43.2,88.7,75,1,Yes,78.1,96,8,0,1.3,Completed,Aug-2026,35,0
296,BAT202608-08,ASS0074,Experienced,CBR,Client Gamma,TR006,OJT,Hybrid,2026-08-29 00:00:00,2026-09-12 00:00:00,15,15,120,119.8,86.8,33,111.6,107.3,99,1,Yes,91.2,74.1,4,1,1.1,Completed,Aug-2026,35,0
297,BAT202603-08,ASS0075,Experienced,Payment Posting,Client Alpha,TR001,Generic Training,Classroom,2026-03-26 00:00:00,2026-03-29 00:00:00,4,4,32,32,26.7,5.3,33.5,95.5,77,1,Yes,82.1,68.6,0,1,0.3,Extended,Mar-2026,13,0
298,BAT202603-08,ASS0075,Experienced,Payment Posting,Client Alpha,TR001,CST,Classroom,2026-03-30 00:00:00,2026-03-31 00:00:00,2,2,16,15.5,12.7,2.8,14.9,104,95,1,Yes,87.4,85.9,1,1,1.8,Completed,Mar-2026,14,0
299,BAT202604-08,ASS0075,Experienced,Payment Posting,Client Alpha,TR001,LAW,Classroom,2026-04-01 00:00:00,2026-04-05 00:00:00,5,5,40,35.6,21.3,14.3,40.8,87.3,76,1,Yes,85,79.5,9,0,2,Completed,Apr-2026,14,0
300,BAT202604-08,ASS0075,Experienced,Payment Posting,Client Alpha,TR001,OJT,Classroom,2026-04-06 00:00:00,2026-04-20 00:00:00,15,15,120,105.8,90.3,15.5,114.6,92.3,63,3,No,86,80.2,5,3,3.1,Completed,Apr-2026,15,0
301,BAT202605-08,ASS0076,Fresher,EVBV,Revere Health,TR004,Generic Training,Classroom,2026-05-31 00:00:00,2026-06-06 00:00:00,7,7,56,50.1,34.4,15.7,60.3,83.1,77,2,No,85.2,77.4,0,3,3.8,Completed,May-2026,22,0
302,BAT202606-08,ASS0076,Fresher,EVBV,Revere Health,TR004,CST,Classroom,2026-06-07 00:00:00,2026-06-11 00:00:00,5,5,40,38.9,30.3,8.6,42.1,92.4,79,1,Yes,100,94,2,2,0.4,Completed,Jun-2026,23,0
303,BAT202606-08,ASS0076,Fresher,EVBV,Revere Health,TR004,LAW,Virtual,2026-06-12 00:00:00,2026-06-21 00:00:00,10,10,80,74.3,61.4,12.9,79.3,93.7,81,1,Yes,90,87.2,9,1,1.1,Completed,Jun-2026,24,0
304,BAT202606-08,ASS0076,Fresher,EVBV,Revere Health,TR004,OJT,Floor,2026-06-22 00:00:00,2026-07-16 00:00:00,25,25,200,186.5,141.5,45,195.5,95.4,59,3,No,78.7,93.4,4,0,4.6,Completed,Jun-2026,26,0
305,BAT202607-08,ASS0077,Fresher,BRCM,Revere Health,TR001,Generic Training,Floor,2026-07-18 00:00:00,2026-07-23 00:00:00,7,6,56,55,52.2,2.8,58.9,93.4,90,1,Yes,79.2,80.3,1,1,0.5,Completed,Jul-2026,29,0
306,BAT202607-08,ASS0077,Fresher,BRCM,Revere Health,TR001,CST,Floor,2026-07-24 00:00:00,2026-07-29 00:00:00,4,6,32,27.5,24.2,3.3,29.8,92.3,89,1,Yes,81.6,82.2,4,1,0.9,Completed,Jul-2026,30,1
307,BAT202607-08,ASS0077,Fresher,BRCM,Revere Health,TR001,LAW,Virtual,2026-07-30 00:00:00,2026-08-08 00:00:00,10,10,80,66.4,54.8,11.6,81.6,81.4,82,1,Yes,75.9,69.6,10,2,1.1,Completed,Jul-2026,31,0
308,BAT202608-08,ASS0077,Fresher,BRCM,Revere Health,TR001,OJT,Classroom,2026-08-09 00:00:00,2026-09-01 00:00:00,25,24,200,200,174.2,25.8,194.1,103,76,1,Yes,69.4,81.8,6,2,0.7,Completed,Aug-2026,32,0
309,BAT202606-08,ASS0078,Experienced,BRCM,Revere Health,TR007,Generic Training,Hybrid,2026-06-20 00:00:00,2026-06-22 00:00:00,3,3,24,22.8,16.9,5.9,25.5,89.4,85,1,Yes,86,70.2,3,2,1.1,Completed,Jun-2026,25,0
310,BAT202606-08,ASS0078,Experienced,BRCM,Revere Health,TR007,CST,Hybrid,2026-06-23 00:00:00,2026-06-24 00:00:00,3,2,24,22.2,16.2,6,25.9,85.7,71,1,Yes,86.7,77.8,3,1,1.8,Completed,Jun-2026,26,0
311,BAT202606-08,ASS0078,Experienced,BRCM,Revere Health,TR007,LAW,Hybrid,2026-06-25 00:00:00,2026-06-29 00:00:00,5,5,40,34.3,30.5,3.8,40.9,83.9,80,1,Yes,83.2,85.1,6,3,0.2,Completed,Jun-2026,26,0
312,BAT202606-08,ASS0078,Experienced,BRCM,Revere Health,TR007,OJT,Classroom,2026-06-30 00:00:00,2026-07-14 00:00:00,15,15,120,113.7,84.7,29,117.5,96.8,72,1,Yes,85.7,68,7,0,0.4,Extended,Jun-2026,27,0
313,BAT202607-08,ASS0079,Experienced,EVBV,Revere Health,TR007,Generic Training,Floor,2026-07-22 00:00:00,2026-07-22 00:00:00,3,1,24,22.8,16.6,6.2,25.8,88.4,86,1,Yes,92.8,87.2,2,0,0.5,Completed,Jul-2026,30,0
314,BAT202607-08,ASS0079,Experienced,EVBV,Revere Health,TR007,CST,Classroom,2026-07-23 00:00:00,2026-07-25 00:00:00,3,3,24,23.2,15.4,7.8,24.7,93.9,87,1,Yes,82.6,92.6,4,2,0.4,Completed,Jul-2026,30,0
315,BAT202607-08,ASS0079,Experienced,EVBV,Revere Health,TR007,LAW,Hybrid,2026-07-26 00:00:00,2026-07-30 00:00:00,5,5,40,35.5,25.5,10,38.3,92.7,83,1,Yes,100,62.7,6,0,0.4,Completed,Jul-2026,30,0
316,BAT202607-08,ASS0079,Experienced,EVBV,Revere Health,TR007,OJT,Hybrid,2026-07-31 00:00:00,2026-08-14 00:00:00,15,15,120,107.9,73.2,34.7,111.9,96.4,72,1,Yes,69.5,92.9,2,2,0.7,Completed,Jul-2026,31,0
317,BAT202603-08,ASS0080,Experienced,BRCM,Revere Health,TR003,Generic Training,Floor,2026-03-11 00:00:00,2026-03-13 00:00:00,4,3,32,28.3,25.3,3,30.8,91.9,75,1,Yes,85.7,79.7,1,0,0.5,Completed,Mar-2026,11,0
318,BAT202603-08,ASS0080,Experienced,BRCM,Revere Health,TR003,CST,Floor,2026-03-14 00:00:00,2026-03-17 00:00:00,3,4,24,24,19.7,4.3,25.7,93.4,100,1,Yes,95.3,76.9,1,0,1.7,Completed,Mar-2026,11,1
319,BAT202603-08,ASS0080,Experienced,BRCM,Revere Health,TR003,LAW,Floor,2026-03-18 00:00:00,2026-03-22 00:00:00,5,5,40,38.3,25.6,12.7,40.9,93.6,76,1,Yes,76.4,76.3,10,0,1.8,Completed,Mar-2026,12,0
320,BAT202603-08,ASS0080,Experienced,BRCM,Revere Health,TR003,OJT,Classroom,2026-03-23 00:00:00,2026-04-06 00:00:00,15,15,120,115.2,81.8,33.4,113.8,101.2,73,1,Yes,85.8,96.6,7,0,0.8,Completed,Mar-2026,13,0
321,BAT202605-09,ASS0081,Fresher,EVBV,River Health,TR006,Generic Training,Hybrid,2026-05-17 00:00:00,2026-05-23 00:00:00,7,7,56,46,29.7,16.3,53.7,85.7,86,1,Yes,88.3,93.9,1,0,0.3,Completed,May-2026,20,0
322,BAT202605-09,ASS0081,Fresher,EVBV,River Health,TR006,CST,Classroom,2026-05-24 00:00:00,2026-05-26 00:00:00,3,3,24,21.4,12.5,8.9,23.5,91.1,89,1,Yes,100,85.8,2,0,1.1,Completed,May-2026,21,0
323,BAT202605-09,ASS0081,Fresher,EVBV,River Health,TR006,LAW,Floor,2026-05-27 00:00:00,2026-06-04 00:00:00,10,9,80,72.1,56.7,15.4,84.1,85.7,92,1,Yes,90.8,90.2,13,1,0.2,Completed,May-2026,22,0
324,BAT202606-09,ASS0081,Fresher,EVBV,River Health,TR006,OJT,Hybrid,2026-06-05 00:00:00,2026-06-29 00:00:00,25,25,200,200,128.8,71.2,198.7,100.7,72,1,Yes,100,67.6,2,0,1.9,Extended,Jun-2026,23,0
325,BAT202603-09,ASS0082,Fresher,Charge Entry,Client Beta,TR005,Generic Training,Virtual,2026-03-22 00:00:00,2026-03-24 00:00:00,5,3,40,40,29.6,10.4,42.2,94.8,83,1,Yes,85.9,65.9,2,2,0.6,Completed,Mar-2026,12,0
326,BAT202603-09,ASS0082,Fresher,Charge Entry,Client Beta,TR005,CST,Floor,2026-03-25 00:00:00,2026-03-27 00:00:00,3,3,24,21.6,14.4,7.2,22.7,95.2,73,1,Yes,89.5,78.9,1,1,1.5,Completed,Mar-2026,13,0
327,BAT202603-09,ASS0082,Fresher,Charge Entry,Client Beta,TR005,LAW,Hybrid,2026-03-28 00:00:00,2026-04-06 00:00:00,10,10,80,73.9,36.9,37,76,97.2,62,2,No,86.3,95.6,8,1,5.5,Completed,Mar-2026,13,0
328,BAT202604-09,ASS0082,Fresher,Charge Entry,Client Beta,TR005,OJT,Hybrid,2026-04-07 00:00:00,2026-05-01 00:00:00,25,25,200,182.1,141.6,40.5,199.3,91.4,60,3,No,91.1,90,4,0,3.4,Completed,Apr-2026,15,0
329,BAT202608-09,ASS0083,Experienced,BRCM,Revere Health,TR003,Generic Training,Hybrid,2026-08-06 00:00:00,2026-08-09 00:00:00,4,4,32,31.2,20.7,10.5,34.1,91.5,76,1,Yes,81,88.9,0,0,0.7,Completed,Aug-2026,32,0
330,BAT202608-09,ASS0083,Experienced,BRCM,Revere Health,TR003,CST,Classroom,2026-08-10 00:00:00,2026-08-12 00:00:00,3,3,24,22.3,13.1,9.2,24,92.9,60,2,No,94.5,79,2,4,7.2,Completed,Aug-2026,33,0
331,BAT202608-09,ASS0083,Experienced,BRCM,Revere Health,TR003,LAW,Classroom,2026-08-13 00:00:00,2026-08-17 00:00:00,5,5,40,35.9,23.6,12.3,37.3,96.2,72,1,Yes,95.1,77.3,8,2,1.9,Completed,Aug-2026,33,0
332,BAT202608-09,ASS0083,Experienced,BRCM,Revere Health,TR003,OJT,Floor,2026-08-18 00:00:00,2026-08-31 00:00:00,15,14,120,107.8,77,30.8,119.6,90.1,94,1,Yes,60.9,96.6,4,2,1.5,Completed,Aug-2026,34,0
333,BAT202605-09,ASS0084,Experienced,EVBV,Client Beta,TR001,Generic Training,Floor,2026-05-29 00:00:00,2026-05-31 00:00:00,3,3,24,20.8,18.1,2.7,25.4,81.9,89,1,Yes,95.2,80.2,4,1,0.3,Completed,May-2026,22,0
334,BAT202606-09,ASS0084,Experienced,EVBV,Client Beta,TR001,CST,Classroom,2026-06-01 00:00:00,2026-06-01 00:00:00,2,1,16,15.2,10,5.2,15.5,98.1,81,1,Yes,97,75.7,2,1,1.4,Completed,Jun-2026,23,0
335,BAT202606-09,ASS0084,Experienced,EVBV,Client Beta,TR001,LAW,Floor,2026-06-02 00:00:00,2026-06-08 00:00:00,5,7,40,36,28.6,7.4,42.2,85.3,91,1,Yes,85.3,65.5,12,0,0.3,Completed,Jun-2026,23,1
336,BAT202606-09,ASS0084,Experienced,EVBV,Client Beta,TR001,OJT,Virtual,2026-06-09 00:00:00,2026-06-23 00:00:00,15,15,120,107.8,67.9,39.9,126.8,85,78,1,Yes,100,82.7,4,1,1.4,Completed,Jun-2026,24,0
337,BAT202603-09,ASS0085,Fresher,Charge Entry,Revere Health,TR002,Generic Training,Classroom,2026-03-27 00:00:00,2026-04-02 00:00:00,7,7,56,51.2,37.4,13.8,53.8,95.2,86,1,Yes,82.7,69.6,1,1,0.4,Completed,Mar-2026,13,0
338,BAT202604-09,ASS0085,Fresher,Charge Entry,Revere Health,TR002,CST,Hybrid,2026-04-03 00:00:00,2026-04-06 00:00:00,4,4,32,27.2,18.5,8.7,31.4,86.6,87,1,Yes,96.3,74.5,5,0,1.3,Completed,Apr-2026,14,0
339,BAT202604-09,ASS0085,Fresher,Charge Entry,Revere Health,TR002,LAW,Virtual,2026-04-07 00:00:00,2026-04-16 00:00:00,10,10,80,80,71,9,84.8,94.3,94,1,Yes,84.4,99,8,2,1,Completed,Apr-2026,15,0
340,BAT202604-09,ASS0085,Fresher,Charge Entry,Revere Health,TR002,OJT,Hybrid,2026-04-17 00:00:00,2026-05-10 00:00:00,25,24,200,160.2,105.3,54.9,200.7,79.8,89,3,No,83.4,81.7,5,0,2.1,Completed,Apr-2026,16,0
341,BAT202603-09,ASS0086,Experienced,CBR,Client Gamma,TR002,Generic Training,Virtual,2026-03-10 00:00:00,2026-03-13 00:00:00,4,4,32,29.7,21.5,8.2,33.3,89.2,76,1,Yes,73.9,88.7,1,1,0.6,Extended,Mar-2026,11,0
342,BAT202603-09,ASS0086,Experienced,CBR,Client Gamma,TR002,CST,Classroom,2026-03-14 00:00:00,2026-03-16 00:00:00,3,3,24,24,18.4,5.6,24.7,97.2,91,1,Yes,81.3,72.2,4,0,1.6,Completed,Mar-2026,11,0
343,BAT202603-09,ASS0086,Experienced,CBR,Client Gamma,TR002,LAW,Classroom,2026-03-17 00:00:00,2026-03-21 00:00:00,5,5,40,36,27.2,8.8,43.1,83.5,81,1,Yes,98.4,74.1,9,3,1.1,Completed,Mar-2026,12,0
344,BAT202603-09,ASS0086,Experienced,CBR,Client Gamma,TR002,OJT,Floor,2026-03-22 00:00:00,2026-04-04 00:00:00,15,14,120,113.9,98.6,15.3,124.4,91.6,96,3,No,100,71.9,7,3,2.3,Completed,Mar-2026,12,0
345,BAT202607-09,ASS0087,Experienced,EVBV,Client Beta,TR006,Generic Training,Hybrid,2026-07-09 00:00:00,2026-07-10 00:00:00,2,2,16,16,10.6,5.4,16.7,95.8,74,3,No,83.8,74.9,1,2,4.3,Completed,Jul-2026,28,0
346,BAT202607-09,ASS0087,Experienced,EVBV,Client Beta,TR006,CST,Hybrid,2026-07-11 00:00:00,2026-07-12 00:00:00,2,2,16,15.7,13.2,2.5,17.1,91.8,100,1,Yes,75.4,82.2,2,1,1,Completed,Jul-2026,28,0
347,BAT202607-09,ASS0087,Experienced,EVBV,Client Beta,TR006,LAW,Hybrid,2026-07-13 00:00:00,2026-07-16 00:00:00,5,4,40,36.2,20.7,15.5,42.3,85.6,94,1,Yes,82,76.6,10,0,1.9,Completed,Jul-2026,29,0
348,BAT202607-09,ASS0087,Experienced,EVBV,Client Beta,TR006,OJT,Classroom,2026-07-17 00:00:00,2026-07-31 00:00:00,15,15,120,107.3,77,30.3,111.3,96.4,79,1,Yes,69.8,87.5,7,2,1.6,Completed,Jul-2026,29,0
349,BAT202604-09,ASS0088,Experienced,BRCM,River Health,TR003,Generic Training,Virtual,2026-04-24 00:00:00,2026-04-26 00:00:00,3,3,24,21.7,15.8,5.9,23.8,91.2,65,3,No,83,78.4,2,1,2.7,Completed,Apr-2026,17,0
350,BAT202604-09,ASS0088,Experienced,BRCM,River Health,TR003,CST,Floor,2026-04-27 00:00:00,2026-04-28 00:00:00,2,2,16,16,10.2,5.8,14.9,107.4,100,1,Yes,86.6,92.3,5,2,1.3,Extended,Apr-2026,18,0
351,BAT202604-09,ASS0088,Experienced,BRCM,River Health,TR003,LAW,Hybrid,2026-04-29 00:00:00,2026-05-03 00:00:00,5,5,40,34.2,27.7,6.5,40.7,84,96,1,Yes,77.1,90.7,6,0,0.6,Completed,Apr-2026,18,0
352,BAT202605-09,ASS0088,Experienced,BRCM,River Health,TR003,OJT,Classroom,2026-05-04 00:00:00,2026-05-18 00:00:00,15,15,120,105.7,82,23.7,126.9,83.3,68,3,No,82.9,83.8,3,3,2.3,Completed,May-2026,19,0
353,BAT202604-09,ASS0089,Fresher,AR,Client Alpha,TR001,Generic Training,Floor,2026-04-26 00:00:00,2026-05-03 00:00:00,8,8,64,64,30.8,33.2,60.6,105.6,78,1,Yes,72.4,85,1,3,1.8,Completed,Apr-2026,17,0
354,BAT202605-09,ASS0089,Fresher,AR,Client Alpha,TR001,CST,Classroom,2026-05-04 00:00:00,2026-05-07 00:00:00,4,4,32,30.3,27.6,2.7,33,91.8,60,2,No,91,73.8,1,2,3.8,Completed,May-2026,19,0
355,BAT202605-09,ASS0089,Fresher,AR,Client Alpha,TR001,LAW,Floor,2026-05-08 00:00:00,2026-05-17 00:00:00,10,10,80,73.2,45,28.2,80.8,90.6,90,1,Yes,77.1,97.3,8,2,0,Completed,May-2026,19,0
356,BAT202605-09,ASS0089,Fresher,AR,Client Alpha,TR001,OJT,Virtual,2026-05-18 00:00:00,2026-06-11 00:00:00,25,25,200,188.1,152.9,35.2,192.1,97.9,67,3,No,70.8,96.4,5,3,3.1,Completed,May-2026,21,0
357,BAT202603-09,ASS0090,Fresher,Payment Posting,Client Gamma,TR008,Generic Training,Hybrid,2026-03-13 00:00:00,2026-03-18 00:00:00,6,6,48,48,45.6,2.4,50.1,95.8,85,1,Yes,91.2,79.2,4,1,1.9,Completed,Mar-2026,11,0
358,BAT202603-09,ASS0090,Fresher,Payment Posting,Client Gamma,TR008,CST,Hybrid,2026-03-19 00:00:00,2026-03-21 00:00:00,3,3,24,20.7,15.9,4.8,25.8,80.2,88,1,Yes,82.6,86.7,4,0,2,Completed,Mar-2026,12,0
359,BAT202603-09,ASS0090,Fresher,Payment Posting,Client Gamma,TR008,LAW,Hybrid,2026-03-22 00:00:00,2026-03-31 00:00:00,10,10,80,73,53.4,19.6,75.4,96.8,83,1,Yes,93.2,85.4,5,1,0.2,Completed,Mar-2026,12,0
360,BAT202604-09,ASS0090,Fresher,Payment Posting,Client Gamma,TR008,OJT,Floor,2026-04-01 00:00:00,2026-04-24 00:00:00,25,24,200,192.1,130.8,61.3,211.7,90.7,84,1,Yes,90.2,78.5,8,2,1.9,Completed,Apr-2026,14,0
361,BAT202601-10,ASS0091,Fresher,EVBV,River Health,TR002,Generic Training,Floor,2026-01-30 00:00:00,2026-02-03 00:00:00,5,5,40,39.2,28.9,10.3,40.4,97,93,1,Yes,89.2,89.5,0,1,1.2,Completed,Jan-2026,5,0
362,BAT202602-10,ASS0091,Fresher,EVBV,River Health,TR002,CST,Classroom,2026-02-04 00:00:00,2026-02-08 00:00:00,5,5,40,36,33.4,2.6,37.2,96.8,89,1,Yes,86,66.6,4,2,0.1,Completed,Feb-2026,6,0
363,BAT202602-10,ASS0091,Fresher,EVBV,River Health,TR002,LAW,Hybrid,2026-02-09 00:00:00,2026-02-18 00:00:00,10,10,80,78.6,52.4,26.2,74.3,105.8,84,1,Yes,86.9,77.5,10,1,0.7,Completed,Feb-2026,7,0
364,BAT202602-10,ASS0091,Fresher,EVBV,River Health,TR002,OJT,Floor,2026-02-19 00:00:00,2026-03-15 00:00:00,25,25,200,200,152.9,47.1,205.6,97.3,75,1,Yes,88.3,70,5,1,1,Completed,Feb-2026,8,0
365,BAT202607-10,ASS0092,Fresher,EVBV,Client Gamma,TR001,Generic Training,Classroom,2026-07-10 00:00:00,2026-07-19 00:00:00,8,10,64,60.6,44.5,16.1,65.7,92.2,68,3,No,81.1,91.4,1,1,4,Completed,Jul-2026,28,1
366,BAT202607-10,ASS0092,Fresher,EVBV,Client Gamma,TR001,CST,Hybrid,2026-07-20 00:00:00,2026-07-23 00:00:00,4,4,32,27.7,17.3,10.4,30.4,91.1,76,3,No,81.5,81.7,1,1,6.4,Completed,Jul-2026,30,0
367,BAT202607-10,ASS0092,Fresher,EVBV,Client Gamma,TR001,LAW,Classroom,2026-07-24 00:00:00,2026-08-02 00:00:00,10,10,80,70.2,60.9,9.3,83.3,84.3,79,1,Yes,77.4,76.7,10,1,1,Completed,Jul-2026,30,0
368,BAT202608-10,ASS0092,Fresher,EVBV,Client Gamma,TR001,OJT,Classroom,2026-08-03 00:00:00,2026-08-27 00:00:00,25,25,200,189.1,139.3,49.8,205.5,92,91,1,Yes,81.8,87.2,5,0,1.5,Completed,Aug-2026,32,0
369,BAT202603-10,ASS0093,Experienced,CBR,Client Gamma,TR007,Generic Training,Floor,2026-03-22 00:00:00,2026-03-23 00:00:00,2,2,16,16,15.2,0.8,16,100,97,2,No,89.8,84.7,1,1,5.7,Completed,Mar-2026,12,0
370,BAT202603-10,ASS0093,Experienced,CBR,Client Gamma,TR007,CST,Hybrid,2026-03-24 00:00:00,2026-03-25 00:00:00,2,2,16,14.9,13.1,1.8,17,87.6,86,1,Yes,87.7,91.7,0,0,1.4,Completed,Mar-2026,13,0
371,BAT202603-10,ASS0093,Experienced,CBR,Client Gamma,TR007,LAW,Floor,2026-03-26 00:00:00,2026-03-29 00:00:00,5,4,40,37.8,25.4,12.4,37.2,101.6,91,1,Yes,91.2,81.9,3,0,1.4,Completed,Mar-2026,13,0
372,BAT202603-10,ASS0093,Experienced,CBR,Client Gamma,TR007,OJT,Hybrid,2026-03-30 00:00:00,2026-04-13 00:00:00,15,15,120,111.2,74.5,36.7,117.8,94.4,83,1,Yes,92,83.2,4,0,1.7,Completed,Mar-2026,14,0
373,BAT202602-10,ASS0094,Experienced,Payment Posting,Client Alpha,TR003,Generic Training,Classroom,2026-02-01 00:00:00,2026-02-03 00:00:00,3,3,24,23.3,15.1,8.2,23.7,98.3,78,1,Yes,71,87.3,2,0,1.5,Completed,Feb-2026,5,0
374,BAT202602-10,ASS0094,Experienced,Payment Posting,Client Alpha,TR003,CST,Hybrid,2026-02-04 00:00:00,2026-02-06 00:00:00,3,3,24,21.5,16.5,5,23.2,92.7,69,3,No,91.5,83.2,6,3,6.5,Completed,Feb-2026,6,0
375,BAT202602-10,ASS0094,Experienced,Payment Posting,Client Alpha,TR003,LAW,Classroom,2026-02-07 00:00:00,2026-02-11 00:00:00,5,5,40,38,29.7,8.3,41.9,90.7,91,1,Yes,74.9,74.3,11,1,0.6,Completed,Feb-2026,6,0
376,BAT202602-10,ASS0094,Experienced,Payment Posting,Client Alpha,TR003,OJT,Hybrid,2026-02-12 00:00:00,2026-02-26 00:00:00,15,15,120,101.4,85.4,16,120.8,83.9,82,1,Yes,100,68.7,6,2,1.9,Completed,Feb-2026,7,0
377,BAT202601-10,ASS0095,Fresher,Charge Entry,Client Beta,TR001,Generic Training,Hybrid,2026-01-29 00:00:00,2026-02-05 00:00:00,8,8,64,60.3,40.2,20.1,65.2,92.5,70,3,No,90.9,91.6,2,2,2.1,Completed,Jan-2026,5,0
378,BAT202602-10,ASS0095,Fresher,Charge Entry,Client Beta,TR001,CST,Classroom,2026-02-06 00:00:00,2026-02-09 00:00:00,4,4,32,29.5,24.1,5.4,29.7,99.3,88,1,Yes,64.3,80.5,1,0,0,Completed,Feb-2026,6,0
379,BAT202602-10,ASS0095,Fresher,Charge Entry,Client Beta,TR001,LAW,Classroom,2026-02-10 00:00:00,2026-02-19 00:00:00,10,10,80,72.5,44.2,28.3,78.6,92.2,100,1,Yes,100,97.8,5,0,0.8,Completed,Feb-2026,7,0
